Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Commodity,Modal_Price,Revenue,Cost,Profit
Cotton,1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,Cotton,7018.95205479452,5573047.931506849,166039.72,5407008.211506849
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,Maize,2600.0,38274600.0,1834743.68,36439856.32
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696,Onion,1464.6079195402297,26279459.90031034,747799.36,25531660.540310342
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561304348,Potato,931.9471865745311,626148288.1910168,7185729.32,618962558.8710167
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381,Wheat,2462.4266055045873,270999897.64220184,8086965.04,262912932.60220185
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,Maize,2600.0,3616943200.0,48007057.56,3568936142.44
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,Maize,2600.0,257223200.0,4663625.12,252559574.88
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,Maize,2600.0,54321800.0,929020.4,53392779.6
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548333333,Wheat,2462.4266055045873,291827101.8715597,23936645.04,267890456.8315597
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.20714286,Banana,2452.813852813853,154554253.67965367,500219.72000000003,154054033.95965368
Cotton,1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667,Cotton,7018.95205479452,39235941.98630137,720301.12,38515640.86630137
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714,Maize,2600.0,64682800.0,1639869.0,63042931.0
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571,Potato,931.9471865745311,186863798.43287265,1982546.72,184881251.71287265
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385,Wheat,2462.4266055045873,16975969.018348627,409322.75999999995,16566646.258348627
Cotton,1997,Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,Cotton,7018.95205479452,364985506.84931505,2482480.0,362503026.84931505
Maize,1997,Whole Year ,West Bengal,35469.0,130390,1852.9,3375584.73,10995.39,2.658461538,Maize,2600.0,339014000.0,3386580.12,335627419.88
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.55,88044.65,18.23722222,Potato,931.9471865745311,5201712615.066634,27117752.2,5174594862.866634
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.886666667,Wheat,2462.4266055045873,1995747515.229358,35076869.519999996,1960670645.709358
Cotton,1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84,Cotton,7018.95205479452,2611050.1643835614,44887.770000000004,2566162.3943835613
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,2568.8,7.54,16.5,Onion,1464.6079195402297,628316.7974827585,2576.34,625740.4574827586
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.78826087,Banana,2452.813852813853,1427253135.930736,4150384.65,1423102751.280736
Cotton,1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435,Cotton,7018.95205479452,5271232.993150685,163696.68,5107536.313150685
Maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,1957228.0,5744.9,0.608695652,Maize,2600.0,36309000.0,1962972.9,34346027.1
Onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,798600.4,2344.07,2.340434783,Onion,1464.6079195402297,26862373.852287352,800944.47,26061429.382287353
Potato,1998,Whole Year ,Assam,76958.0,611077,2354.4,7603450.4,22317.82,7.230434783,Potato,931.9471865745311,569491490.9304048,7625768.220000001,561865722.7104048
Wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,8851590.8,25981.39,0.999545455,Wheat,2462.4266055045873,222871769.6376147,8877572.190000001,213994197.4476147
Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58,Banana,2452.813852813853,35320519.48051948,188271.0,35132248.48051948
Cotton,1998,Kharif     ,Karnataka,636495.0,976876,1260.8,62885706.0,184583.55,1.556521739,Cotton,7018.95205479452,6856645807.479452,63070289.55,6793575517.929452
Maize,1998,Kharif     ,Karnataka,450472.0,1542607,1260.8,44506633.6,130636.88,3.366,Maize,2600.0,4010778200.0,44637270.480000004,3966140929.52
Maize,1998,Rabi       ,Karnataka,49922.0,101605,1260.8,4932293.6,14477.38,1.97952381,Maize,2600.0,264173000.0,4946770.9799999995,259226229.02
Maize,1998,Summer     ,Karnataka,11974.0,27080,1260.8,1183031.2,3472.46,2.241904762,Maize,2600.0,70408000.0,1186503.66,69221496.34
Onion,1998,Kharif     ,Karnataka,79921.0,362053,1260.8,7896194.8,23177.09,5.363636364,Onion,1464.6079195402297,530265691.0932988,7919371.89,522346319.2032988
Onion,1998,Rabi       ,Karnataka,8882.0,91057,1260.8,877541.6,2575.78,8.936315789,Onion,1464.6079195402297,133362803.32957469,880117.38,132482685.9495747
Onion,1998,Summer     ,Karnataka,4797.0,55339,1260.8,473943.6,1391.13,11.86631579,Onion,1464.6079195402297,81049937.65943676,475334.73,80574602.92943676
Potato,1998,Kharif     ,Karnataka,28755.0,317052,1260.8,2840994.0,8338.95,12.37333333,Potato,931.9471865745311,295475719.3978282,2849332.95,292626386.44782823
Potato,1998,Rabi       ,Karnataka,4173.0,82124,1260.8,412292.4,1210.17,18.90714286,Potato,931.9471865745311,76535230.7502468,413502.57,76121728.1802468
Potato,1998,Summer     ,Karnataka,1137.0,19387,1260.8,112335.6,329.73,17.6,Potato,931.9471865745311,18067660.106120434,112665.33,17954994.776120435
Potato,1998,Whole Year ,Karnataka,268.0,3910,1260.8,26478.4,77.72,14.59,Potato,931.9471865745311,3643913.4995064167,26556.120000000003,3617357.3795064166
Wheat,1998,Rabi       ,Karnataka,268981.0,219433,1260.8,26575322.8,78004.49,0.848823529,Wheat,2462.4266055045873,540337657.3256881,26653327.29,513684330.0356881
Banana,1998,Whole Year ,Kerala,30521.0,386588,3151.5,3015474.8,8851.09,12.85714286,Banana,2452.813852813853,948228401.7316017,3024325.8899999997,945204075.8416017
Cotton,1998,Kharif     ,Kerala,10999.0,17752,3151.5,1086701.2,3189.71,1.61,Cotton,7018.95205479452,124600436.87671232,1089890.91,123510545.96671233
Banana,1998,Whole Year ,Meghalaya,5194.0,62888,6552.7,513167.2,1506.26,11.26714286,Banana,2452.813852813853,154252557.5757576,514673.46,153737884.11575758
Cotton,1998,Kharif     ,Meghalaya,7549.0,5599,6552.7,745841.2,2189.21,0.796666667,Cotton,7018.95205479452,39299112.55479452,748030.4099999999,38551082.14479452
Maize,1998,Kharif     ,Meghalaya,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857,Maize,2600.0,65707200.0,1706230.71,64000969.29
Potato,1998,Whole Year ,Meghalaya,20753.0,201059,6552.7,2050396.4,6018.37,7.738571429,Potato,931.9471865745311,187376369.38548866,2056414.77,185319954.61548865
Wheat,1998,Rabi       ,Meghalaya,4287.0,6998,6552.7,423555.6,1243.23,1.605,Wheat,2462.4266055045873,17232061.385321103,424798.82999999996,16807262.555321105
Cotton,1998,Kharif     ,West Bengal,200.0,73,2152.5,19760.0,58.0,0.37,Cotton,7018.95205479452,512383.5,19818.0,492565.5
Maize,1998,Kharif     ,West Bengal,38519.0,121161,2152.5,3805677.2,11170.51,2.634,Maize,2600.0,315018600.0,3816847.71,311201752.29
Potato,1998,Whole Year ,West Bengal,318199.0,6689636,2152.5,31438061.2,92277.71,18.95944444,Potato,931.9471865745311,6234387449.4077,31530338.91,6202857110.4977
Wheat,1998,Rabi       ,West Bengal,367472.0,778090,2152.5,36306233.6,106566.88,1.870555556,Wheat,2462.4266055045873,1915989517.4770644,36412800.480000004,1879576716.9970644
Banana,1999,Whole Year ,Assam,41922.0,583383,2201.8,4449181.86,11318.94,13.74652174,Banana,2452.813852813853,1430929903.8961039,4460500.800000001,1426469403.096104
Cotton,1999,Kharif     ,Assam,1637.0,746,2201.8,173734.81,441.99,0.41173913,Cotton,7018.95205479452,5236138.232876712,174176.8,5061961.432876713
Maize,1999,Kharif     ,Assam,19708.0,14056,2201.8,2091610.04,5321.16,0.613913043,Maize,2600.0,36545600.0,2096931.2,34448668.8
Onion,1999,Whole Year ,Assam,7365.0,17167,2201.8,781647.45,1988.55,2.322173913,Onion,1464.6079195402297,25142924.15474712,783636.0,24359288.15474712
Potato,1999,Whole Year ,Assam,76748.0,699744,2201.8,8145265.24,20721.96,8.062608696,Potato,931.9471865745311,652124452.1224086,8165987.2,643958464.9224086
Wheat,1999,Rabi       ,Assam,76310.0,97583,2201.8,8098780.3,20603.7,1.256818182,Wheat,2462.4266055045873,240290975.44495416,8119384.0,232171591.44495416
Banana,1999,Whole Year ,Goa,1950.0,14500,3879.3,206953.5,526.5,7.44,Banana,2452.813852813853,35565800.865800865,207480.0,35358320.865800865
Banana,1999,Whole Year ,Kerala,39046.0,398145,2914.6,4143951.98,10542.42,10.36285714,Banana,2452.813852813853,976575571.4285715,4154494.4,972421077.0285715
Cotton,1999,Kharif     ,Kerala,4772.0,7702,2914.6,506452.36,1288.44,1.61,Cotton,7018.95205479452,54059968.7260274,507740.8,53552227.9260274
Banana,1999,Whole Year ,Meghalaya,5319.0,63383,6200.3,564505.47,1436.13,11.16285714,Banana,2452.813852813853,155466700.43290043,565941.6,154900758.83290043
Cotton,1999,Kharif     ,Meghalaya,7455.0,5549,6200.3,791199.15,2012.85,0.8,Cotton,7018.95205479452,38948164.95205479,793212.0,38154952.95205479
Maize,1999,Kharif     ,Meghalaya,16637.0,24051,6200.3,1765684.81,4491.99,1.448571429,Maize,2600.0,62532600.0,1770176.8,60762423.2
Potato,1999,Whole Year ,Meghalaya,18339.0,143287,6200.3,1946318.07,4951.53,6.858571429,Potato,931.9471865745311,133535916.52270484,1951269.6,131584646.92270485
